<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.QGDO:TQBR;60;11/12/20;14:00:00;3291.5000000;3302.0000000;3290.5000000;3299.5000000;2265
MOEX.QGDO:TQBR;60;11/12/20;15:00:00;3300.0000000;3300.0000000;3275.0000000;3282.5000000;8611
MOEX.QGDO:TQBR;60;11/12/20;16:00:00;3280.5000000;3285.0000000;3276.5000000;3282.0000000;3052
MOEX.QGDO:TQBR;60;11/12/20;17:00:00;3280.5000000;3284.5000000;3275.0000000;3281.0000000;4260
MOEX.QGDO:TQBR;60;11/12/20;18:00:00;3281.0000000;3306.0000000;3230.5000000;3272.0000000;37133
MOEX.QGDO:TQBR;60;11/12/20;19:00:00;3273.0000000;3274.5000000;3181.5000000;3215.0000000;33300
MOEX.QGDO:TQBR;60;11/12/20;20:00:00;3215.0000000;3215.0000000;3126.0000000;3151.0000000;34161
MOEX.QGDO:TQBR;60;11/12/20;21:00:00;3150.0000000;3164.5000000;3106.0000000;3134.5000000;33691
MOEX.QGDO:TQBR;60;11/12/20;22:00:00;3134.0000000;3183.0000000;3129.0000000;3176.0000000;17711
MOEX.QGDO:TQBR;60;11/12/20;23:00:00;3176.0000000;3185.0000000;3170.0000000;3171.5000000;17988
MOEX.QGDO:TQBR;60;12/12/20;00:00:00;3172.0000000;3176.0000000;3156.0000000;3164.5000000;12390
MOEX.QGDO:TQBR;60;14/12/20;11:00:00;3195.0000000;3208.5000000;3110.0000000;3200.0000000;28802
MOEX.QGDO:TQBR;60;14/12/20;12:00:00;3199.0000000;3200.0000000;3150.5000000;3184.0000000;9679
MOEX.QGDO:TQBR;60;14/12/20;13:00:00;3184.0000000;3198.5000000;3170.5000000;3184.5000000;8990
MOEX.QGDO:TQBR;60;14/12/20;14:00:00;3181.5000000;3229.0000000;3181.5000000;3225.0000000;19575
MOEX.QGDO:TQBR;60;14/12/20;15:00:00;3224.5000000;3238.0000000;3220.5000000;3227.5000000;9051
MOEX.QGDO:TQBR;60;14/12/20;16:00:00;3223.0000000;3227.5000000;3203.0000000;3216.0000000;6104
MOEX.QGDO:TQBR;60;14/12/20;17:00:00;3215.5000000;3228.0000000;3210.0000000;3228.0000000;8236
MOEX.QGDO:TQBR;60;14/12/20;18:00:00;3228.0000000;3228.5000000;3012.5000000;3080.5000000;84582
MOEX.QGDO:TQBR;60;14/12/20;19:00:00;3083.0000000;3084.5000000;3029.0000000;3030.0000000;40764
MOEX.QGDO:TQBR;60;14/12/20;20:00:00;3030.0000000;3099.5000000;3020.0000000;3092.5000000;30158
MOEX.QGDO:TQBR;60;14/12/20;21:00:00;3092.0000000;3093.5000000;3064.0000000;3082.5000000;18624
MOEX.QGDO:TQBR;60;14/12/20;22:00:00;3082.0000000;3092.5000000;3075.0000000;3081.5000000;10625
MOEX.QGDO:TQBR;60;14/12/20;23:00:00;3083.5000000;3085.0000000;3054.5000000;3060.0000000;27037
MOEX.QGDO:TQBR;60;15/12/20;00:00:00;3060.0000000;3080.5000000;3060.0000000;3069.0000000;13393
MOEX.QGDO:TQBR;60;15/12/20;11:00:00;3070.0000000;3113.0000000;3040.5000000;3077.0000000;27294
MOEX.QGDO:TQBR;60;15/12/20;12:00:00;3077.0000000;3091.0000000;3061.0000000;3088.0000000;10703
MOEX.QGDO:TQBR;60;15/12/20;13:00:00;3088.0000000;3093.0000000;3070.5000000;3091.5000000;8906
MOEX.QGDO:TQBR;60;15/12/20;14:00:00;3093.0000000;3096.0000000;3081.0000000;3082.5000000;4335
MOEX.QGDO:TQBR;60;15/12/20;15:00:00;3083.0000000;3084.5000000;3073.5000000;3084.0000000;3795
MOEX.QGDO:TQBR;60;15/12/20;16:00:00;3082.0000000;3090.0000000;3077.0000000;3088.5000000;3630
MOEX.QGDO:TQBR;60;15/12/20;17:00:00;3088.5000000;3097.0000000;3087.5000000;3092.0000000;4415
MOEX.QGDO:TQBR;60;15/12/20;18:00:00;3095.0000000;3160.0000000;3083.5000000;3158.5000000;39367
MOEX.QGDO:TQBR;60;15/12/20;19:00:00;3159.5000000;3160.0000000;3115.0000000;3126.0000000;16400
MOEX.QGDO:TQBR;60;15/12/20;20:00:00;3163.5000000;3190.0000000;3140.5000000;3148.0000000;19588
MOEX.QGDO:TQBR;60;15/12/20;21:00:00;3148.0000000;3168.0000000;3132.0000000;3155.0000000;7204
MOEX.QGDO:TQBR;60;15/12/20;22:00:00;3149.5000000;3175.0000000;3141.0000000;3171.0000000;9899
MOEX.QGDO:TQBR;60;15/12/20;23:00:00;3172.0000000;3207.0000000;3157.0000000;3200.5000000;19148
MOEX.QGDO:TQBR;60;16/12/20;00:00:00;3199.0000000;3208.5000000;3183.5000000;3201.0000000;11483
MOEX.QGDO:TQBR;60;16/12/20;11:00:00;3221.5000000;3308.0000000;3202.0000000;3250.0000000;34280
MOEX.QGDO:TQBR;60;16/12/20;12:00:00;3251.5000000;3252.0000000;3234.0000000;3234.0000000;8482
MOEX.QGDO:TQBR;60;16/12/20;13:00:00;3234.5000000;3250.0000000;3234.0000000;3247.0000000;6391
MOEX.QGDO:TQBR;60;16/12/20;14:00:00;3247.5000000;3248.5000000;3237.0000000;3242.0000000;3476
MOEX.QGDO:TQBR;60;16/12/20;15:00:00;3241.5000000;3242.0000000;3236.0000000;3239.0000000;4558
MOEX.QGDO:TQBR;60;16/12/20;16:00:00;3237.0000000;3242.0000000;3170.0000000;3212.5000000;23291
MOEX.QGDO:TQBR;60;16/12/20;17:00:00;3210.5000000;3242.0000000;3203.5000000;3229.5000000;9480
MOEX.QGDO:TQBR;60;16/12/20;18:00:00;3229.5000000;3249.5000000;3168.0000000;3216.0000000;24561
MOEX.QGDO:TQBR;60;16/12/20;19:00:00;3215.5000000;3284.0000000;3214.5000000;3275.0000000;39660
MOEX.QGDO:TQBR;60;16/12/20;20:00:00;3273.5000000;3305.0000000;3243.5000000;3288.0000000;34747
MOEX.QGDO:TQBR;60;16/12/20;21:00:00;3285.0000000;3288.0000000;3280.0000000;3282.0000000;14124
MOEX.QGDO:TQBR;60;16/12/20;22:00:00;3280.5000000;3293.5000000;3270.0000000;3282.5000000;9135
