<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ARSF-RM;60;03/12/20;21:00:00;15998.0000000;16021.0000000;15987.0000000;15988.0000000;45
ARSF-RM;60;03/12/20;22:00:00;15988.0000000;15991.0000000;15948.0000000;15948.0000000;63
ARSF-RM;60;03/12/20;23:00:00;15954.0000000;16001.0000000;15948.0000000;15986.0000000;89
ARSF-RM;60;04/12/20;00:00:00;15986.0000000;16017.0000000;15964.0000000;15964.0000000;51
ARSF-RM;60;04/12/20;11:00:00;15900.0000000;16010.0000000;15900.0000000;15957.0000000;27
ARSF-RM;60;04/12/20;12:00:00;15959.0000000;16077.0000000;15959.0000000;15965.0000000;316
ARSF-RM;60;04/12/20;13:00:00;15972.0000000;15972.0000000;15970.0000000;15970.0000000;8
ARSF-RM;60;04/12/20;14:00:00;15970.0000000;16005.0000000;15965.0000000;15965.0000000;50
ARSF-RM;60;04/12/20;15:00:00;15965.0000000;15966.0000000;15965.0000000;15966.0000000;8
ARSF-RM;60;04/12/20;16:00:00;15966.0000000;15966.0000000;15900.0000000;15912.0000000;190
ARSF-RM;60;04/12/20;17:00:00;15912.0000000;15912.0000000;15890.0000000;15900.0000000;40
ARSF-RM;60;04/12/20;18:00:00;15918.0000000;15918.0000000;15860.0000000;15884.0000000;147
ARSF-RM;60;04/12/20;19:00:00;15893.0000000;15926.0000000;15840.0000000;15880.0000000;91
ARSF-RM;60;04/12/20;20:00:00;15902.0000000;15902.0000000;15820.0000000;15827.0000000;21
ARSF-RM;60;04/12/20;21:00:00;15824.0000000;15843.0000000;15824.0000000;15824.0000000;44
ARSF-RM;60;04/12/20;22:00:00;15824.0000000;15834.0000000;15789.0000000;15789.0000000;59
ARSF-RM;60;04/12/20;23:00:00;15785.0000000;15826.0000000;15780.0000000;15811.0000000;53
ARSF-RM;60;05/12/20;00:00:00;15822.0000000;15826.0000000;15797.0000000;15797.0000000;155
ARSF-RM;60;07/12/20;11:00:00;15954.0000000;15970.0000000;15931.0000000;15932.0000000;106
ARSF-RM;60;07/12/20;12:00:00;15953.0000000;15953.0000000;15900.0000000;15917.0000000;85
ARSF-RM;60;07/12/20;13:00:00;15916.0000000;15996.0000000;15916.0000000;15996.0000000;151
ARSF-RM;60;07/12/20;14:00:00;16000.0000000;16081.0000000;16000.0000000;16075.0000000;406
ARSF-RM;60;07/12/20;15:00:00;16072.0000000;16072.0000000;16055.0000000;16055.0000000;12
ARSF-RM;60;07/12/20;16:00:00;16046.0000000;16046.0000000;15960.0000000;15960.0000000;99
ARSF-RM;60;07/12/20;17:00:00;15945.0000000;15945.0000000;15841.0000000;15841.0000000;64
ARSF-RM;60;07/12/20;18:00:00;15833.0000000;15853.0000000;15775.0000000;15819.0000000;261
ARSF-RM;60;07/12/20;19:00:00;15825.0000000;15829.0000000;15725.0000000;15725.0000000;76
ARSF-RM;60;07/12/20;20:00:00;15725.0000000;15732.0000000;15690.0000000;15698.0000000;73
ARSF-RM;60;07/12/20;21:00:00;15695.0000000;15712.0000000;15662.0000000;15700.0000000;28
ARSF-RM;60;07/12/20;22:00:00;15686.0000000;15712.0000000;15670.0000000;15712.0000000;177
ARSF-RM;60;07/12/20;23:00:00;15688.0000000;15737.0000000;15688.0000000;15720.0000000;57
ARSF-RM;60;08/12/20;00:00:00;15720.0000000;15736.0000000;15708.0000000;15724.0000000;31
ARSF-RM;60;08/12/20;11:00:00;15738.0000000;15808.0000000;15710.0000000;15754.0000000;110
ARSF-RM;60;08/12/20;12:00:00;15754.0000000;15771.0000000;15700.0000000;15767.0000000;46
ARSF-RM;60;08/12/20;13:00:00;15750.0000000;15750.0000000;15665.0000000;15665.0000000;213
ARSF-RM;60;08/12/20;14:00:00;15665.0000000;15702.0000000;15665.0000000;15702.0000000;25
ARSF-RM;60;08/12/20;15:00:00;15702.0000000;15703.0000000;15680.0000000;15680.0000000;44
